npc= name:mom, x:7, y:3, facing:1, frozen:True

npc_interact=name:mom, talk:'Hi Sweetie!NEWLINE  I think Professor Elm wanted to see you next door.'


music=60 New Bark Town's Theme.wav

door= from_x: 6, from_y: 8, bg: newbark, x: 15, y: 8, facing: 0
door= from_x: 7, from_y: 8, bg: newbark, x: 15, y: 8, facing: 0

door= from_x: 9, from_y: 0, bg: my_room, x: 7, y: 1, facing: 0


move=#
move=6,8
move=7,8

move=9,7
move=8,7
move=7,7
move=6,7
move=5,7
move=4,7
move=3,7
move=2,7
move=1,7
move=0,7
move=0,6
move=1,6
move=2,6
move=3,6
move=4,6
move=5,6
move=6,6
move=7,6
move=8,6
move=9,6
move=9,5
move=8,5
move=7,5
move=6,5
move=5,5
move=4,5
move=3,5
move=2,5
move=1,5
move=0,5
move=0,4
move=0,3
move=0,2
move=1,2
move=2,2
move=2,3
move=1,3
move=1,4
move=2,4
move=3,4
move=4,4
move=4,3
move=4,2
move=5,2
move=6,2
move=7,2
move=7,3
move=7,4
move=8,4
move=9,4
move=9,3
move=8,3
move=8,2
move=9,2
move=9,1
move=9,0
move=8,1
move=7,1
move=6,1
