npc= name:elm, x:5, y:2, facing:0, frozen:True
npc= name:assistant, facing:3, x:2, y:9, frozen:True
npc= name:cyndaquil, type:pokeball, x:6, y:3, frozen:True
npc= name:totodile,  type:pokeball, x:7, y:3, frozen:True
npc= name:chikorita, type:pokeball, x:8, y:3, frozen:True


npc_move=assistant,2,9
npc_move=assistant,3,9
npc_move=assistant,1,9
npc_move=assistant,2,8





npc_interact=name:assistant, talk:'Im Professor Elm's Aid!'

npc_interact=name:cyndaquil, talk:...   Cyndaquil!NEWLINENEWLINEThe fire-type pokemon
npc_interact=name:totodile, talk:...   Totodile!NEWLINENEWLINEThe water-type pokemon
npc_interact=name:chikorita, talk:...   Chikorita!NEWLINENEWLINEThe grass-type pokemon

npc_interact=name:elm, talk:'Whaddup biiiiiiiitchCOMMA *buuurp*NEWLINEgrab a pokemon or whatever'





music=50 Elm Research Institute.wav





door= from_x: 4, from_y: 12, bg: newbark, x: 8, y: 6, facing: 0

door= from_x: 5, from_y: 12, bg: newbark, x: 8, y: 6, facing: 0





move=#
move=4,12
move=5,12
move=4,1
move=4,2
move=5,2
move=5,1
move=6,2
move=7,2
move=8,2
move=9,2
move=9,4
move=8,4
move=7,4
move=6,4
move=6,5
move=7,5
move=8,5
move=9,5
move=5,4
move=5,3
move=4,3
move=3,3
move=2,2
move=3,2
move=2,3
move=1,3
move=0,3
move=0,4
move=0,5
move=1,5
move=2,5
move=3,5
move=4,5
move=5,5
move=4,4
move=3,4
move=2,4
move=1,4
move=4,6
move=4,7
move=5,7
move=5,6
move=9,8
move=8,8
move=7,8
move=6,8
move=5,8
move=4,8
move=3,8
move=2,8
move=1,8
move=0,8
move=0,9
move=1,9
move=2,9
move=3,9
move=4,9
move=5,9
move=6,9
move=7,9
move=8,9
move=9,9
move=9,10
move=8,10
move=7,10
move=6,10
move=5,10
move=4,10
move=3,10
move=2,10
move=1,10
move=0,10
move=0,11
move=1,11
move=2,11
move=3,11
move=4,11
move=5,11
move=6,11
move=7,11
move=8,11
move=9,11
