

npc= name:tree1, type:cut_tree, x:30, y:9, frozen:True
npc_interact=name:tree1, action:cut_tree


music=52 Road to Cherrygrove City ~ from New Bark Town.wav

door= from_x: 60,  from_y: 8, bg: newbark, x: 0, y: 10, facing: 3, washout:0
door= from_x: 60,  from_y: 9, bg: newbark, x: 0, y: 11, facing: 3, washout:0

extra_bg = bg:newbark, x_off:60, y_off:-2

move=x:0,y:0,tile:tree
move=x:1,y:0,tile:tree
move=x:2,y:0,tile:tree
move=x:3,y:0,tile:tree
move=x:4,y:0,tile:tree
move=x:5,y:0,tile:tree
move=x:6,y:0,tile:tree
move=x:7,y:0,tile:tree
move=x:8,y:0,tile:tree
move=x:9,y:0,tile:tree
move=x:14,y:0,tile:tree
move=x:15,y:0,tile:tree
move=x:16,y:0,tile:tree
move=x:17,y:0,tile:tree
move=x:18,y:0,tile:tree
move=x:19,y:0,tile:tree
move=x:20,y:0,tile:tree
move=x:21,y:0,tile:tree
move=x:22,y:0,tile:tree
move=x:23,y:0,tile:tree
move=x:24,y:0,tile:tree
move=x:25,y:0,tile:tree
move=x:0,y:1,tile:tree
move=x:1,y:1,tile:tree
move=x:2,y:1,tile:tree
move=x:3,y:1,tile:tree
move=x:4,y:1,tile:tree
move=x:5,y:1,tile:tree
move=x:6,y:1,tile:tree
move=x:7,y:1,tile:tree
move=x:8,y:1,tile:tree
move=x:9,y:1,tile:tree
move=x:11,y:1,tile:grass
move=x:12,y:1,tile:grass
move=x:13,y:1,tile:grass
move=x:14,y:1,tile:tree
move=x:15,y:1,tile:tree
move=x:16,y:1,tile:tree
move=x:17,y:1,tile:tree
move=x:18,y:1,tile:tree
move=x:19,y:1,tile:tree
move=x:20,y:1,tile:tree
move=x:21,y:1,tile:tree
move=x:22,y:1,tile:tree
move=x:23,y:1,tile:tree
move=x:24,y:1,tile:tree
move=x:25,y:1,tile:tree
move=x:27,y:1,tile:door
move=x:0,y:2,tile:tree
move=x:1,y:2,tile:tree
move=x:2,y:2,tile:tree
move=x:3,y:2,tile:tree
move=x:4,y:2,tile:tree
move=x:5,y:2,tile:tree
move=x:6,y:2,tile:tree
move=x:7,y:2,tile:tree
move=x:8,y:2,tile:tree
move=x:9,y:2,tile:tree
move=x:11,y:2,tile:grass
move=x:12,y:2,tile:grass
move=x:13,y:2,tile:grass
move=x:14,y:2,tile:grass
move=x:16,y:2,tile:grass
move=x:17,y:2,tile:grass
move=x:18,y:2,tile:grass
move=x:22,y:2,tile:tree
move=x:23,y:2,tile:tree
move=x:24,y:2,tile:grass
move=x:25,y:2,tile:grass
move=x:26,y:2,tile:grass
move=x:27,y:2,tile:grass
move=x:28,y:2,tile:grass
move=x:29,y:2,tile:grass
move=x:38,y:2,tile:tall_grass
move=x:39,y:2,tile:tall_grass
move=x:40,y:2,tile:tall_grass
move=x:41,y:2,tile:tall_grass
move=x:42,y:2,tile:tall_grass
move=x:43,y:2,tile:tall_grass
move=x:44,y:2,tile:tall_grass
move=x:45,y:2,tile:tall_grass
move=x:46,y:2,tile:grass
move=x:47,y:2,tile:grass
move=x:48,y:2,tile:grass
move=x:49,y:2,tile:shrub
move=x:0,y:3,tile:tree
move=x:1,y:3,tile:tree
move=x:2,y:3,tile:tree
move=x:3,y:3,tile:tree
move=x:4,y:3,tile:tree
move=x:5,y:3,tile:tree
move=x:6,y:3,tile:tree
move=x:7,y:3,tile:tree
move=x:8,y:3,tile:tree
move=x:9,y:3,tile:tree
move=x:10,y:3,tile:grass
move=x:11,y:3,tile:grass
move=x:12,y:3,tile:grass
move=x:13,y:3,tile:grass
move=x:14,y:3,tile:grass
move=x:16,y:3,tile:grass
move=x:17,y:3,tile:grass
move=x:18,y:3,tile:grass
move=x:19,y:3,tile:grass
move=x:20,y:3,tile:grass
move=x:21,y:3,tile:grass
move=x:22,y:3,tile:tree
move=x:23,y:3,tile:tree
move=x:24,y:3,tile:grass
move=x:25,y:3,tile:grass
move=x:26,y:3,tile:grass
move=x:27,y:3,tile:grass
move=x:28,y:3,tile:grass
move=x:29,y:3,tile:grass
move=x:38,y:3,tile:tall_grass
move=x:39,y:3,tile:tall_grass
move=x:40,y:3,tile:tall_grass
move=x:41,y:3,tile:tall_grass
move=x:42,y:3,tile:tall_grass
move=x:43,y:3,tile:tall_grass
move=x:44,y:3,tile:tall_grass
move=x:45,y:3,tile:tall_grass
move=x:46,y:3,tile:shrub
move=x:47,y:3,tile:shrub
move=x:48,y:3,tile:shrub
move=x:49,y:3,tile:shrub
move=x:0,y:4,tile:tree
move=x:1,y:4,tile:tree
move=x:2,y:4,tile:grass
move=x:3,y:4,tile:grass
move=x:4,y:4,tile:grass
move=x:5,y:4,tile:grass
move=x:8,y:4,tile:tree
move=x:9,y:4,tile:tree
move=x:10,y:4,tile:grass
move=x:11,y:4,tile:grass
move=x:12,y:4,tile:grass
move=x:13,y:4,tile:grass
move=x:14,y:4,tile:grass
move=x:16,y:4,tile:tall_grass
move=x:17,y:4,tile:tall_grass
move=x:18,y:4,tile:tall_grass
move=x:19,y:4,tile:tall_grass
move=x:20,y:4,tile:grass
move=x:21,y:4,tile:grass
move=x:22,y:4,tile:grass
move=x:24,y:4,tile:grass
move=x:25,y:4,tile:grass
move=x:26,y:4,tile:grass
move=x:27,y:4,tile:grass
move=x:28,y:4,tile:grass
move=x:29,y:4,tile:grass
move=x:32,y:4,tile:tree
move=x:33,y:4,tile:tree
move=x:34,y:4,tile:tall_grass
move=x:35,y:4,tile:tall_grass
move=x:36,y:4,tile:grass
move=x:37,y:4,tile:grass
move=x:38,y:4,tile:tall_grass
move=x:39,y:4,tile:tall_grass
move=x:40,y:4,tile:tall_grass
move=x:41,y:4,tile:tall_grass
move=x:42,y:4,tile:tall_grass
move=x:43,y:4,tile:tall_grass
move=x:0,y:5,tile:tree
move=x:1,y:5,tile:tree
move=x:2,y:5,tile:grass
move=x:3,y:5,tile:sign
move=x:4,y:5,tile:grass
move=x:5,y:5,tile:grass
move=x:6,y:5,tile:grass
move=x:8,y:5,tile:tree
move=x:9,y:5,tile:tree
move=x:11,y:5,tile:grass
move=x:16,y:5,tile:tall_grass
move=x:17,y:5,tile:tall_grass
move=x:18,y:5,tile:tall_grass
move=x:19,y:5,tile:tall_grass
move=x:21,y:5,tile:grass
move=x:22,y:5,tile:grass
move=x:23,y:5,tile:grass
move=x:24,y:5,tile:grass
move=x:25,y:5,tile:grass
move=x:26,y:5,tile:grass
move=x:27,y:5,tile:grass
move=x:28,y:5,tile:grass
move=x:29,y:5,tile:grass
move=x:30,y:5,tile:grass
move=x:32,y:5,tile:tree
move=x:33,y:5,tile:tree
move=x:34,y:5,tile:tall_grass
move=x:35,y:5,tile:tall_grass
move=x:36,y:5,tile:grass
move=x:37,y:5,tile:grass
move=x:38,y:5,tile:tall_grass
move=x:39,y:5,tile:tall_grass
move=x:40,y:5,tile:tall_grass
move=x:41,y:5,tile:tall_grass
move=x:42,y:5,tile:tall_grass
move=x:43,y:5,tile:tall_grass
move=x:0,y:6,tile:cement
move=x:1,y:6,tile:cement
move=x:2,y:6,tile:cement
move=x:3,y:6,tile:cement
move=x:4,y:6,tile:cement
move=x:5,y:6,tile:cement
move=x:6,y:6,tile:cement
move=x:7,y:6,tile:cement
move=x:9,y:6,tile:grass
move=x:10,y:6,tile:tall_grass
move=x:11,y:6,tile:tall_grass
move=x:12,y:6,tile:tall_grass
move=x:13,y:6,tile:tall_grass
move=x:14,y:6,tile:tall_grass
move=x:15,y:6,tile:tall_grass
move=x:16,y:6,tile:tall_grass
move=x:17,y:6,tile:tall_grass
move=x:21,y:6,tile:grass
move=x:22,y:6,tile:grass
move=x:23,y:6,tile:grass
move=x:24,y:6,tile:grass
move=x:25,y:6,tile:grass
move=x:26,y:6,tile:grass
move=x:27,y:6,tile:grass
move=x:28,y:6,tile:grass
move=x:29,y:6,tile:grass
move=x:30,y:6,tile:grass
move=x:31,y:6,tile:grass
move=x:32,y:6,tile:tall_grass
move=x:33,y:6,tile:tall_grass
move=x:34,y:6,tile:tall_grass
move=x:35,y:6,tile:tall_grass
move=x:36,y:6,tile:tall_grass
move=x:37,y:6,tile:tall_grass
move=x:40,y:6,tile:grass
move=x:41,y:6,tile:grass
move=x:46,y:6,tile:shrub
move=x:47,y:6,tile:shrub
move=x:48,y:6,tile:shrub
move=x:49,y:6,tile:grass
move=x:50,y:6,tile:grass
move=x:51,y:6,tile:grass
move=x:52,y:6,tile:grass
move=x:53,y:6,tile:grass
move=x:0,y:7,tile:cement
move=x:1,y:7,tile:cement
move=x:2,y:7,tile:cement
move=x:3,y:7,tile:cement
move=x:4,y:7,tile:cement
move=x:5,y:7,tile:cement
move=x:6,y:7,tile:cement
move=x:7,y:7,tile:cement
move=x:9,y:7,tile:grass
move=x:10,y:7,tile:tall_grass
move=x:11,y:7,tile:tall_grass
move=x:12,y:7,tile:tall_grass
move=x:13,y:7,tile:tall_grass
move=x:14,y:7,tile:tall_grass
move=x:15,y:7,tile:tall_grass
move=x:16,y:7,tile:tall_grass
move=x:17,y:7,tile:tall_grass
move=x:23,y:7,tile:grass
move=x:24,y:7,tile:grass
move=x:25,y:7,tile:grass
move=x:26,y:7,tile:grass
move=x:27,y:7,tile:grass
move=x:28,y:7,tile:grass
move=x:29,y:7,tile:grass
move=x:30,y:7,tile:grass
move=x:31,y:7,tile:grass
move=x:32,y:7,tile:tall_grass
move=x:33,y:7,tile:tall_grass
move=x:34,y:7,tile:tall_grass
move=x:35,y:7,tile:tall_grass
move=x:36,y:7,tile:tall_grass
move=x:37,y:7,tile:tall_grass
move=x:40,y:7,tile:grass
move=x:41,y:7,tile:grass
move=x:46,y:7,tile:shrub
move=x:47,y:7,tile:grass
move=x:48,y:7,tile:grass
move=x:49,y:7,tile:grass
move=x:50,y:7,tile:grass
move=x:51,y:7,tile:sign
move=x:52,y:7,tile:grass
move=x:53,y:7,tile:grass
move=x:0,y:8,tile:tree
move=x:1,y:8,tile:tree
move=x:2,y:8,tile:tree
move=x:3,y:8,tile:tree
move=x:4,y:8,tile:grass
move=x:5,y:8,tile:grass
move=x:6,y:8,tile:cement
move=x:7,y:8,tile:cement
move=x:9,y:8,tile:grass
move=x:10,y:8,tile:grass
move=x:11,y:8,tile:grass
move=x:12,y:8,tile:grass
move=x:13,y:8,tile:grass
move=x:14,y:8,tile:grass
move=x:23,y:8,tile:grass
move=x:24,y:8,tile:grass
move=x:25,y:8,tile:grass
move=x:26,y:8,tile:grass
move=x:27,y:8,tile:grass
move=x:28,y:8,tile:grass
move=x:30,y:8,tile:grass
move=x:31,y:8,tile:grass
move=x:36,y:8,tile:tall_grass
move=x:37,y:8,tile:tall_grass
move=x:40,y:8,tile:tall_grass
move=x:41,y:8,tile:tall_grass
move=x:42,y:8,tile:grass
move=x:44,y:8,tile:grass
move=x:45,y:8,tile:grass
move=x:46,y:8,tile:grass
move=x:47,y:8,tile:grass
move=x:48,y:8,tile:grass
move=x:49,y:8,tile:grass
move=x:50,y:8,tile:cement
move=x:51,y:8,tile:cement
move=x:52,y:8,tile:cement
move=x:53,y:8,tile:cement
move=x:54,y:8,tile:cement
move=x:55,y:8,tile:cement
move=x:56,y:8,tile:cement
move=x:57,y:8,tile:cement
move=x:58,y:8,tile:cement
move=x:59,y:8,tile:cement
move=x:0,y:9,tile:tree
move=x:1,y:9,tile:tree
move=x:2,y:9,tile:tree
move=x:3,y:9,tile:tree
move=x:4,y:9,tile:grass
move=x:5,y:9,tile:grass
move=x:6,y:9,tile:cement
move=x:7,y:9,tile:cement
move=x:11,y:9,tile:grass
move=x:30,y:9,tile:grass
move=x:36,y:9,tile:tall_grass
move=x:37,y:9,tile:tall_grass
move=x:40,y:9,tile:tall_grass
