x:  0,   y:  0,   tile: tree
x:  1,   y:  0,   tile: tree
x:  2,   y:  0,   tile: tree
x:  3,   y:  0,   tile: tree
x:  4,   y:  0,   tile: tree
x:  5,   y:  0,   tile: tree
x:  6,   y:  0,   tile: tree
x:  7,   y:  0,   tile: tree
x:  8,   y:  0,   tile: tree
x:  9,   y:  0,   tile: tree
x: 14,   y:  0,   tile: tree
x: 15,   y:  0,   tile: tree
x: 16,   y:  0,   tile: tree
x: 17,   y:  0,   tile: tree
x: 18,   y:  0,   tile: tree
x: 19,   y:  0,   tile: tree
x: 20,   y:  0,   tile: tree
x: 21,   y:  0,   tile: tree
x: 22,   y:  0,   tile: tree
x: 23,   y:  0,   tile: tree
x: 24,   y:  0,   tile: tree
x: 25,   y:  0,   tile: tree
x:  0,   y:  1,   tile: tree
x:  1,   y:  1,   tile: tree
x:  2,   y:  1,   tile: tree
x:  3,   y:  1,   tile: tree
x:  4,   y:  1,   tile: tree
x:  5,   y:  1,   tile: tree
x:  6,   y:  1,   tile: tree
x:  7,   y:  1,   tile: tree
x:  8,   y:  1,   tile: tree
x:  9,   y:  1,   tile: tree
x: 11,   y:  1,   tile: grass
x: 12,   y:  1,   tile: grass
x: 13,   y:  1,   tile: grass
x: 14,   y:  1,   tile: tree
x: 15,   y:  1,   tile: tree
x: 16,   y:  1,   tile: tree
x: 17,   y:  1,   tile: tree
x: 18,   y:  1,   tile: tree
x: 19,   y:  1,   tile: tree
x: 20,   y:  1,   tile: tree
x: 21,   y:  1,   tile: tree
x: 22,   y:  1,   tile: tree
x: 23,   y:  1,   tile: tree
x: 24,   y:  1,   tile: tree
x: 25,   y:  1,   tile: tree
x: 27,   y:  1,   tile: door
x:  0,   y:  2,   tile: tree
x:  1,   y:  2,   tile: tree
x:  2,   y:  2,   tile: tree
x:  3,   y:  2,   tile: tree
x:  4,   y:  2,   tile: tree
x:  5,   y:  2,   tile: tree
x:  6,   y:  2,   tile: tree
x:  7,   y:  2,   tile: tree
x:  8,   y:  2,   tile: tree
x:  9,   y:  2,   tile: tree
x: 11,   y:  2,   tile: grass
x: 12,   y:  2,   tile: grass
x: 13,   y:  2,   tile: grass
x: 14,   y:  2,   tile: grass
x: 16,   y:  2,   tile: grass
x: 17,   y:  2,   tile: grass
x: 18,   y:  2,   tile: grass
x: 22,   y:  2,   tile: tree
x: 23,   y:  2,   tile: tree
x: 24,   y:  2,   tile: grass
x: 25,   y:  2,   tile: grass
x: 26,   y:  2,   tile: grass
x: 27,   y:  2,   tile: grass
x: 28,   y:  2,   tile: grass
x: 29,   y:  2,   tile: grass
x: 38,   y:  2,   tile: tall_grass
x: 39,   y:  2,   tile: tall_grass
x: 40,   y:  2,   tile: tall_grass
x: 41,   y:  2,   tile: tall_grass
x: 42,   y:  2,   tile: tall_grass
x: 43,   y:  2,   tile: tall_grass
x: 44,   y:  2,   tile: tall_grass
x: 45,   y:  2,   tile: tall_grass
x: 46,   y:  2,   tile: grass
x: 47,   y:  2,   tile: grass
x: 48,   y:  2,   tile: grass
x: 49,   y:  2,   tile: shrub
x:  0,   y:  3,   tile: tree
x:  1,   y:  3,   tile: tree
x:  2,   y:  3,   tile: tree
x:  3,   y:  3,   tile: tree
x:  4,   y:  3,   tile: tree
x:  5,   y:  3,   tile: tree
x:  6,   y:  3,   tile: tree
x:  7,   y:  3,   tile: tree
x:  8,   y:  3,   tile: tree
x:  9,   y:  3,   tile: tree
x: 10,   y:  3,   tile: grass
x: 11,   y:  3,   tile: grass
x: 12,   y:  3,   tile: grass
x: 13,   y:  3,   tile: grass
x: 14,   y:  3,   tile: grass
x: 16,   y:  3,   tile: grass
x: 17,   y:  3,   tile: grass
x: 18,   y:  3,   tile: grass
x: 19,   y:  3,   tile: grass
x: 20,   y:  3,   tile: grass
x: 21,   y:  3,   tile: grass
x: 22,   y:  3,   tile: tree
x: 23,   y:  3,   tile: tree
x: 24,   y:  3,   tile: grass
x: 25,   y:  3,   tile: grass
x: 26,   y:  3,   tile: grass
x: 27,   y:  3,   tile: grass
x: 28,   y:  3,   tile: grass
x: 29,   y:  3,   tile: grass
x: 38,   y:  3,   tile: tall_grass
x: 39,   y:  3,   tile: tall_grass
x: 40,   y:  3,   tile: tall_grass
x: 41,   y:  3,   tile: tall_grass
x: 42,   y:  3,   tile: tall_grass
x: 43,   y:  3,   tile: tall_grass
x: 44,   y:  3,   tile: tall_grass
x: 45,   y:  3,   tile: tall_grass
x: 46,   y:  3,   tile: shrub
x: 47,   y:  3,   tile: shrub
x: 48,   y:  3,   tile: shrub
x: 49,   y:  3,   tile: shrub
x:  0,   y:  4,   tile: tree
x:  1,   y:  4,   tile: tree
x:  2,   y:  4,   tile: grass
x:  3,   y:  4,   tile: grass
x:  4,   y:  4,   tile: grass
x:  5,   y:  4,   tile: grass
x:  8,   y:  4,   tile: tree
x:  9,   y:  4,   tile: tree
x: 10,   y:  4,   tile: grass
x: 11,   y:  4,   tile: grass
x: 12,   y:  4,   tile: grass
x: 13,   y:  4,   tile: grass
x: 14,   y:  4,   tile: grass
x: 16,   y:  4,   tile: tall_grass
x: 17,   y:  4,   tile: tall_grass
x: 18,   y:  4,   tile: tall_grass
x: 19,   y:  4,   tile: tall_grass
x: 20,   y:  4,   tile: grass
x: 21,   y:  4,   tile: grass
x: 22,   y:  4,   tile: grass
x: 24,   y:  4,   tile: grass
x: 25,   y:  4,   tile: grass
x: 26,   y:  4,   tile: grass
x: 27,   y:  4,   tile: grass
